Field Name,Total Emissions (MJ),Total Emissions,Upstream Emissions,Midstream Emissions,Downstream Emissions, Transport to Consumers,Gasoline for Cars,Jet Fuel for Planes,Diesel for Trucks and Engines,Fuel Oil for Boilers,Petroleum Coke for Power,Liquid Heavy Ends for Ships,Natural Gas Liquids,Liquefied Petroleum Gases,Petrochemical Feedstocks,Natural Gas,Industry GHG Responsibility,Consumer GHG Responsibility,Methane Fugitives + Venting kg CO2e per BOE,Flaring kg CO2e per BOE,All fugitives and venting kg CO2e per BOE,$10 per tonne Carbon Fee Total GHG Emissions,$10 per Tonne Carbon Fee for Upstream Producer Emissions,$10 per Tonne Carbon Fee for Midstream Refiner Emissions,$10 per Tonne Carbon Fee for Downstream End-Use Emissions,$40 per tonne Carbon Fee Total GHG Emissions,$40 per Tonne Carbon Fee for Upstream Producer Emissions,$40 per Tonne Carbon Fee for Midstream Refiner Emissions,$40 per Tonne Carbon Fee for Downstream End-Use Emissions
U.S. California Midway Sunset,121.1,764.9,219.3,70.3,475.3,11.7,146.2,42.3,162.2,0.0,79.4,17.8,0.6,12.4,2.8,0.0,301.3,463.6,21.0,0.2,21.7,7.65,2.19,0.70,4.75,30.60,8.77,2.81,19.01
U.S. California South Belridge,112.2,698.3,133.0,84.4,480.9,12.3,187.9,39.7,159.6,0.0,41.2,20.9,1.2,14.8,3.3,0.0,229.6,468.7,17.2,0.1,18.5,6.98,1.33,0.84,4.81,27.93,5.32,3.37,19.24
Canada Athabasca DC SCO,110.2,706.5,139.8,14.8,552.0,13.6,60.3,122.0,80.2,84.7,101.5,86.9,0.0,2.1,0.6,0.0,168.1,538.4,0.0,0.0,0.0,7.07,1.40,0.15,5.52,28.26,5.59,0.59,22.08
Indonesia Duri,129.3,788.0,246.3,73.5,468.1,11.7,191.3,24.1,146.4,0.0,55.0,20.5,0.5,15.3,3.4,0.0,331.5,456.5,2.4,3.6,2.5,7.88,2.46,0.74,4.68,31.52,9.85,2.94,18.73
Nigeria Obagi,71.9,418.0,79.1,5.6,333.3,7.4,23.8,30.7,15.3,13.8,0.0,35.9,1.9,0.8,0.2,203.4,92.1,325.8,31.5,10.4,47.6,4.18,0.79,0.06,3.33,16.72,3.16,0.22,13.33
Kuwait Ratawi,102.2,611.4,122.7,24.7,464.0,13.4,91.6,61.3,54.3,0.0,0.0,240.2,0.0,2.4,0.8,0.0,160.7,450.6,6.6,102.2,6.7,6.11,1.23,0.25,4.64,24.45,4.91,0.99,18.56
Mexico Chuc,89.5,513.9,72.2,23.8,418.0,11.5,129.5,75.9,79.0,0.0,0.0,101.0,0.6,3.9,1.2,15.3,107.4,406.5,4.2,47.6,6.4,5.14,0.72,0.24,4.18,20.56,2.89,0.95,16.72
Norway Ekofisk,83.5,466.2,18.1,13.8,434.3,11.3,95.0,79.2,29.4,36.4,0.0,128.5,16.2,2.9,0.8,34.6,43.2,423.0,5.2,1.3,6.5,4.66,0.18,0.14,4.34,18.65,0.72,0.55,17.37
Australia Cossack,82.3,450.9,32.7,18.9,399.3,10.1,134.7,90.1,18.2,19.5,0.0,51.1,10.5,4.2,1.2,59.8,61.7,389.2,11.2,0.6,16.2,4.51,0.33,0.19,3.99,18.04,1.31,0.75,15.97
Azerbaijan Azeri Light,90.2,514.4,34.2,12.3,468.0,11.6,64.6,88.9,41.1,50.2,0.0,140.6,33.1,2.3,0.6,34.8,58.1,456.4,5.9,0.1,9.6,5.14,0.34,0.12,4.68,20.58,1.37,0.49,18.72
Saudi Arabia Ghawar,100.3,576.0,21.1,26.3,528.6,11.5,125.3,83.8,76.2,0.0,0.0,101.4,107.6,3.5,1.1,18.2,58.9,517.1,3.0,1.8,4.6,5.76,0.21,0.26,5.29,23.04,0.84,1.05,21.15
U.S. Texas Spraberry,95.0,527.1,64.6,17.1,445.5,11.2,103.3,86.7,30.9,35.6,0.0,117.5,30.8,3.7,1.0,24.7,92.8,434.3,9.5,6.5,13.1,5.27,0.65,0.17,4.45,21.09,2.58,0.68,17.82
U.S. Texas Eagle Ford Black Oil,100.5,548.6,46.3,15.9,486.3,10.9,113.4,86.2,37.8,35.5,0.0,79.2,96.7,3.5,1.0,22.1,73.2,475.4,23.9,3.6,24.7,5.49,0.46,0.16,4.86,21.94,1.85,0.64,19.45
U.S. Texas Eagle Ford Volatile Oil,105.4,566.9,46.0,11.8,509.1,9.9,86.9,71.1,22.2,26.2,0.0,74.4,162.8,2.7,0.7,52.3,67.6,499.3,12.9,17.3,14.5,5.67,0.46,0.12,5.09,22.68,1.84,0.47,20.37
U.S. Wyoming Natural CO2 EOR Example,99.2,577.1,85.8,41.8,449.5,12.3,151.3,82.7,95.6,0.0,0.0,102.8,0.0,3.7,1.2,0.0,139.9,437.2,6.1,0.2,6.2,5.77,0.86,0.42,4.50,23.08,3.43,1.67,17.98
UAE Man-made CO2 EOR Example,49.5,288.2,-203.1,41.8,449.5,12.3,151.3,82.7,95.6,0.0,0.0,102.8,0.0,3.7,1.2,0.0,-149.0,437.2,6.1,0.2,6.2,2.88,-2.03,0.42,4.50,11.53,-8.13,1.67,17.98
