Field Name,Total Emissions (MJ),Total Emissions,Upstream Emissions,Midstream Emissions,Downstream Emissions, Transport to Consumers,Gasoline for Cars,Jet Fuel for Planes,Diesel for Trucks and Engines,Fuel Oil for Boilers,Petroleum Coke for Power,Liquid Heavy Ends for Ships,Natural Gas Liquids,Liquefied Petroleum Gases,Petrochemical Feedstocks,Natural Gas,Industry GHG Responsibility,Consumer GHG Responsibility,Methane Fugitives + Venting kg CO2e per BOE,Flaring kg CO2e per BOE,$10 per tonne Carbon Fee Total GHG Emissions,$10 per Tonne Carbon Fee for Upstream Producer Emissions,$10 per Tonne Carbon Fee for Midstream Refiner Emissions,$10 per Tonne Carbon Fee for Downstream End-Use Emissions,$40 per tonne Carbon Fee Total GHG Emissions,$40 per Tonne Carbon Fee for Upstream Producer Emissions,$40 per Tonne Carbon Fee for Midstream Refiner Emissions,$40 per Tonne Carbon Fee for Downstream End-Use Emissions
U.S. California Midway Sunset,127.6,806.2,250.9,78.4,477.0,10.6,146.5,42.3,162.5,0.0,80.5,17.9,0.6,12.4,3.7,0.0,340,466,53.2,0.3,8.06,2.51,0.78,4.77,32.25,10.03,3.14,19.08
U.S. California South Belridge,118.3,736.3,158.8,95.3,482.2,11.0,188.3,39.8,159.9,0.0,41.8,21.0,1.2,14.8,4.5,0.0,265,471,43.4,0.2,8.06,1.59,0.95,4.82,29.45,6.35,3.81,19.29
Canada Athabasca DC SCO,112.4,720.8,147.1,20.1,553.5,12.8,60.4,122.2,80.4,84.9,103.0,87.1,0.0,2.1,0.7,0.0,180,541,0.1,0.0,7.36,1.47,0.20,5.54,28.83,5.88,0.81,22.14
Indonesia Duri,131.7,802.5,251.4,81.6,469.5,10.5,191.7,24.1,146.7,0.0,55.8,20.6,0.5,15.3,4.5,0.0,343,459,6.0,5.4,7.21,2.51,0.82,4.69,32.10,10.05,3.26,18.78
Nigeria Obagi,84.4,491.1,132.9,24.3,333.9,7.2,23.8,30.7,15.3,13.8,0.0,36.0,1.9,0.8,0.8,203.6,164,327,79.7,15.8,8.02,1.33,0.24,3.34,19.65,5.32,0.97,13.36
Kuwait Ratawi,112.9,675.6,184.6,26.6,464.4,12.8,91.7,61.4,54.4,0.0,0.0,240.6,0.0,2.4,1.0,0.0,224,452,16.6,154.2,4.91,1.85,0.27,4.64,27.02,7.38,1.07,18.58
Mexico Chuc,96.4,553.5,106.2,29.1,418.2,10.6,129.8,76.1,79.1,0.0,0.0,101.2,0.6,3.9,1.7,15.3,146,408,10.7,71.8,6.76,1.06,0.29,4.18,22.14,4.25,1.17,16.73
Norway Ekofisk,88.5,494.7,27.4,28.5,438.7,10.7,95.2,79.3,29.5,36.5,0.0,128.8,16.3,2.9,5.2,34.6,67,428,13.1,1.9,5.54,0.27,0.29,4.39,19.79,1.10,1.14,17.55
Australia Cossack,87.5,479.4,50.3,27.0,402.1,9.3,134.9,90.2,18.2,19.5,0.0,51.2,10.5,4.3,4.2,59.9,87,393,28.3,0.9,4.95,0.50,0.27,4.02,19.18,2.01,1.08,16.09
Azerbaijan Azeri Light,94.0,536.2,42.0,19.9,474.4,10.9,63.8,87.7,40.6,49.5,0.0,138.7,32.7,2.3,9.2,39.1,73,463,15.8,0.2,4.79,0.42,0.20,4.74,21.45,1.68,0.79,18.98
Saudi Arabia Ghawar,107.1,615.5,27.0,32.1,556.5,10.6,125.6,84.0,76.4,0.0,0.0,101.6,107.8,3.5,28.9,18.2,70,546,7.5,2.8,5.36,0.27,0.32,5.56,24.62,1.08,1.28,22.26
U.S. Texas Spraberry,100.4,557.5,82.0,21.8,453.6,10.5,103.5,86.9,31.0,35.6,0.0,117.7,30.9,3.7,9.2,24.8,114,443,24.1,9.9,6.15,0.82,0.22,4.54,22.30,3.28,0.87,18.15
U.S. Texas Eagle Ford Black Oil,112.9,616.7,84.0,21.3,511.3,10.1,113.6,86.3,37.9,35.5,0.0,79.4,96.9,3.5,26.0,22.1,115,501,60.4,4.8,5.57,0.84,0.21,5.11,24.67,3.36,0.85,20.45
U.S. Texas Eagle Ford Volatile Oil,119.4,642.3,71.4,19.7,551.2,9.2,87.1,71.2,22.2,26.2,0.0,74.5,163.1,2.7,42.6,52.3,100,542,32.5,22.9,6.17,0.71,0.20,5.51,25.69,2.85,0.79,22.05
U.S. Wyoming Natural CO2 EOR Example,101.8,592.1,97.7,44.9,449.5,11.3,151.6,82.8,95.8,0.0,0.0,103.0,0.0,3.7,1.5,0.0,154,438,15.5,0.3,6.42,0.98,0.45,4.50,23.69,3.91,1.80,17.98
UAE Man-made CO2 EOR Example,52.1,302.8,-191.6,44.9,449.5,11.3,151.6,82.8,95.8,0.0,0.0,103.0,0.0,3.7,1.5,0.0,-135,438,15.5,0.3,5.92,-1.92,0.45,4.50,12.11,-7.66,1.80,17.98
U.S. Texas Eagle Ford Condensate,101.8,556.2,58.1,30.1,467.9,7.4,82.5,35.4,6.3,4.5,0.0,2.5,174.9,0.0,44.7,109.8,96,461,39.7,4.4,3.03,0.58,0.30,4.68,22.25,2.33,1.21,18.72
U.S. Texas Eagle Ford Gas,69.2,383.7,120.0,30.1,233.5,7.1,57.0,24.5,4.3,3.1,0.0,1.7,5.5,0.0,1.4,128.9,157,226,101.6,1.0,5.56,1.20,0.30,2.34,15.35,4.80,1.21,9.34
U.S. Pennsylvania Marcellus,71.2,416.0,104.0,30.1,281.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.4,140,276,97.7,0.0,3.84,1.04,0.30,2.82,16.64,4.16,1.21,11.28
UK Brent,205.3,1169.8,882.4,12.3,275.2,7.2,9.2,14.6,7.3,11.6,0.0,45.3,0.2,0.4,0.2,179.3,902,268,588.1,192.5,4.16,8.82,0.12,2.75,46.79,35.29,0.49,11.01
UAE Shah,94.6,551.1,183.7,34.0,333.3,7.6,43.6,26.2,28.4,0.0,0.0,42.2,13.9,1.2,4.0,166.0,225,326,67.8,0.3,11.70,1.84,0.34,3.33,22.04,7.35,1.36,13.33
New Zealand Kapuni,122.1,693.8,388.4,34.0,271.3,7.2,29.7,17.8,19.3,0.0,0.0,28.7,0.4,0.8,0.4,167.0,430,264,70.1,4.1,5.51,3.88,0.34,2.71,27.75,15.54,1.36,10.85
Australia Gorgon,91.6,550.9,188.5,34.0,328.3,5.6,7.9,4.8,5.2,0.0,0.0,7.7,0.0,0.2,0.1,296.9,228,323,96.5,0.7,6.94,1.88,0.34,3.28,22.03,7.54,1.36,13.13
China Sulige,102.1,596.9,280.3,34.0,282.6,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.1,320,277,238.7,0.1,5.51,2.80,0.34,2.83,23.88,11.21,1.36,11.31
Iran South Pars,87.0,513.9,114.1,34.0,365.8,6.1,14.7,8.8,9.6,0.0,0.0,14.2,44.9,0.4,11.6,255.5,154,360,97.3,0.4,5.97,1.14,0.34,3.66,20.56,4.56,1.36,14.63
Qatar Idd El Shargi,105.2,618.3,145.5,34.0,438.8,6.1,14.3,8.6,9.3,0.0,0.0,13.9,108.8,0.4,28.0,249.5,186,433,92.8,0.4,5.14,1.45,0.34,4.39,24.73,5.82,1.36,17.55
Russia Astrakhanskoye,131.8,777.1,398.2,34.0,344.9,8.1,57.5,34.6,37.5,0.0,0.0,55.7,0.3,1.6,0.7,148.8,440,337,182.3,2.1,6.18,3.98,0.34,3.45,31.08,15.93,1.36,13.80
Russia Urengoyskoye,72.8,421.4,,30.1,290.2,5.7,1.8,0.8,0.1,0.1,0.0,0.1,16.5,0.0,4.2,261.1,137,285,96.3,0.4,7.77,1.01,0.30,2.90,16.86,4.04,1.21,11.61
Argentina Vaca Muerta,94.5,552.8,,30.1,472.1,8.2,157.5,67.6,12.0,8.7,0.0,4.7,120.6,0.0,30.8,62.1,89,464,23.5,0.2,4.21,0.51,0.30,4.72,22.11,2.03,1.21,18.88
