slider,value,stage,U.S. California Midway Sunset,U.S. California South Belridge,Canada Athabasca DC SCO,Indonesia Duri,Nigeria Obagi,Kuwait Ratawi,Mexico Chuc,Norway Ekofisk,Australia Cossack,Azerbaijan Azeri Light,Saudi Arabia Ghawar,U.S. Texas Spraberry,U.S. Texas Eagle Ford Black Oil,U.S. Texas Eagle Ford Volatile Oil,U.S. Wyoming Natural CO2 EOR Example,UAE Man-made CO2 EOR Example,U.S. Texas Eagle Ford Condensate,U.S. Texas Eagle Ford Gas,U.S. Pennsylvania Marcellus,UK Brent,UAE Shah,New Zealand Kapuni,Australia Gorgon,China Sulige,Iran South Pars,Qatar Idd El Shargi,Russia Astrakhanskoye,Russia Urengoyskoye,Argentina Vaca Muerta
petcoke,1,downstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petcoke,0,downstream,-80.42194767,-41.77817075,-102.7428242,-55.71682005,-0.0000000000000000000496,-0.0000000000000000000907,-0.0000000000000000000827,-0.0000000000000000000463,-0.000000000000000000022,-0.0000000000000000000418,-0.0000000000000000000692,-0.0000000000000000000298,-0.000000000000000000000692,-0.00000000000000000000628,-0.0000000000000000000522,-0.0000000000000000000522,0.00000000000000000000332,0.00000000000000000000229,0.0000000000000000000000000889,0.00000000000000000000181,0.000000000000000000006,0.00000000000000000000408,0.00000000000000000000109,0.0000000000000000000000016,0.00000000000000000000202,0.00000000000000000000197,0.00000000000000000000791,0.0000000000000000000000717,0.00000000000000000000634
petcoke,0.5,downstream,-40.21097384,-20.88908538,-51.37141212,-27.85841002,-0.0000000000000000000248,-0.0000000000000000000454,-0.0000000000000000000413,-0.0000000000000000000231,-0.000000000000000000011,-0.0000000000000000000209,-0.0000000000000000000346,-0.0000000000000000000149,-0.000000000000000000000346,-0.00000000000000000000314,-0.0000000000000000000261,-0.0000000000000000000261,0.00000000000000000000166,0.00000000000000000000115,0.0000000000000000000000000445,0.000000000000000000000904,0.000000000000000000003,0.00000000000000000000204,0.000000000000000000000546,0.000000000000000000000000801,0.00000000000000000000101,0.000000000000000000000984,0.00000000000000000000396,0.0000000000000000000000358,0.00000000000000000000317
solarsteam,0,upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.3,upstream,-53.53280396,-24.16739094,0,-49.92032218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.75,upstream,-136.8601695,-60.90850317,0,-133.437902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0,midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solarsteam,0.3,midstream,-0.39610945,-1.343037696,-0.25843986,-1.143914372,-0.312891645,-0.274918112,-0.487084586,-0.358785523,-0.352592761,-0.349052245,-0.446927225,-0.346510539,-0.372494696,-0.376792436,-0.716791676,-0.716791676,-0.399443317,-0.399443317,-0.399443317,-0.346730336,-0.301415291,-0.301415291,-0.301415291,-0.301415291,-0.301415291,-0.301415291,-0.301415291,-0.399443317,-0.399443317
solarsteam,0.75,midstream,-0.990273624,-3.35759424,-0.646099649,-2.859785931,-0.782229112,-0.687295281,-1.217711466,-0.896963807,-0.881481902,-0.872630614,-1.117318061,-0.866276348,-0.931236741,-0.941981089,-1.791979189,-1.791979189,-0.998608292,-0.998608292,-0.998608292,-0.866825839,-0.753538227,-0.753538227,-0.753538227,-0.753538227,-0.753538227,-0.753538227,-0.753538227,-0.998608292,-0.998608292
lng,0,midstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
